name,indiv_feature,global_feature,motion,category1,category2,category3,category4,category5,category6
102_s0001,1.3299183448059124,-0.6694458117577744,몸 움직임,8,512,2,2,4,8
102_s0002,1.9071846347054653,0.4046114054029899,의자 흔듬,8,512,1,2,2,2048
102_s0003,2.192091292873269,1.2927947872528365,자세 바로잡음,2,512,2,2,4,8
102_s0004,2.496707134950788,2.068015085354719,의자 흔듬,8,512,1,2,2,2048
102_s0005,2.014930170637179,2.3856813336289706,의자 흔듬,8,512,1,2,2,2048
102_s0006,1.849345528709531,2.014340416867274,입술 움직임,512,512,512,2,4,16
102_s0007,1.8261212708560384,1.950680050096535,의자 흔듬,8,512,1,2,2,2048
102_s0008,-0.2049836581338165,-0.5673010872631887,의자 흔듬,8,512,1,2,2,2048
102_s0009,-0.1379081026096023,-0.4622359355987222,턱 움직임,64,512,16,2,4,16
102_s0010,0.3462347858758773,0.8397821667083202,손 움직임,32,512,2,2,4,8
102_s0011,0.3191048702222349,0.5891519102519709,의자 흔듬,8,512,1,2,2,2048
102_s0012,1.716536109292382,1.0680995415363352,손 움직임,32,512,2,2,4,8
102_s0013,2.467639977959889,1.337409705593991,코 벌렁거림,1024,512,1024,2,4,16
102_s0014,2.155646470072708,1.2782764762755414,입술 움직임,512,512,512,2,4,16
102_s0015,2.4953044746985285,1.1952136215256337,자세 바로잡음,2,512,2,2,4,8
102_s0016,2.7555625950846343,2.2260066444311803,입술 움직임,512,512,512,2,4,16
102_s0017,1.2908007108230433,1.8657304512342168,코 벌렁거림,1024,512,1024,2,4,16
102_s0018,0.6962549533153467,1.5171281012999545,입술 움직임,512,512,512,2,4,16
102_s0019,0.0354075035103919,1.6812771611864588,코 긁음,48,512,1024,2,4,1024
102_s0020,-0.0961638007823344,1.3202396822502125,두 손 모음,48,512,2,2,4,1024
102_s0021,0.946454763829554,1.1504691920368595,손 움직임,32,512,2,2,4,8
102_s0022,1.0072328427697512,1.1448608969510328,의자 흔듬,8,512,1,2,2,2048
102_s0023,0.7548052445005395,0.1848099209072689,손 움직임,32,512,2,2,4,8
102_s0024,0.51842780321709,-0.2754141323774047,목 긁음,48,512,128,2,4,1024
102_s0025,0.3389061769782849,0.0930762927533872,코 벌렁거림,1024,512,1024,2,4,16
102_s0026,0.2903720047736209,0.683138891985208,의자 흔듬,8,512,1,2,2,2048
102_s0027,0.3817197704687317,0.2395727554246205,손 움직임,32,512,2,2,4,8
102_s0028,0.5050911036008378,0.5142622524611836,코 긁음,48,512,1024,2,4,1024
102_s0029,0.2137366138010048,0.9083541991364624,손 움직임,32,512,2,2,4,8
102_s0030,0.0272165619600783,0.4922117895074415,코 벌렁거림,1024,512,1024,2,4,16
102_s0031,0.0301894518688987,0.9093283444974928,의자 흔듬,8,512,1,2,2,2048
102_s0032,0.1417746633677034,-0.0419388989958114,의자 흔듬,8,512,1,2,2,2048
102_s0033,0.0676603064836066,-0.0111963576649194,코 긁음,48,512,1024,2,4,1024
102_s0034,-0.2505352216263563,-0.4020847405694214,의자 흔듬,8,512,1,2,2,2048
102_s0035,-0.4137707255413282,-0.7383123927967324,코 벌렁거림,1024,512,1024,2,4,16
102_s0036,-0.2675207563222045,-1.0429485088550936,의자 흔듬,8,512,1,2,2,2048
102_s0037,-0.968919497695884,-0.8799933558142363,입술 움직임,512,512,512,2,4,16
102_s0038,-1.0487857330449626,-0.783984115288183,의자 흔듬,8,512,1,2,2,2048
102_s0039,-1.822779242362761,-0.2268860312909424,의자 흔듬,8,512,1,2,2,2048
102_s0040,-1.255694668854621,-0.1992637434630209,입술 움직임,512,512,512,2,4,16
102_s0041,-1.1579047341301527,0.8530504369814986,코 벌렁거림,1024,512,1024,2,4,16
102_s0042,-1.2869013912146026,0.8230227971802285,의자 흔듬,8,512,1,2,2,2048
102_s0043,-1.284324274667923,0.4856141995187105,코 벌렁거림,1024,512,1024,2,4,16
